,fold,dice,precision,recall,f1,fpr
0,1,0.21929824561403505,0.23684210526315788,0.23684210526315788,0.21929824561403505,0.03294633642930857
1,2,0.23684210526315788,0.2631578947368421,0.23684210526315788,0.23684210526315788,0.06429308565531475
2,3,0.20175438596491227,0.21052631578947367,0.23684210526315788,0.20175438596491227,0.07087203302373582
3,4,0.32456140350877194,0.2982456140350877,0.42105263157894735,0.32456140350877194,0.06938854489164087
4,5,0.31578947368421045,0.2807017543859649,0.42105263157894735,0.31578947368421045,0.0820046439628483
