,fold,dice,precision,recall,f1,fpr
0,1,0.002424688544921788,0.0012246869168622762,0.20526315789473684,0.0024246885449217877,0.27740831545157585
1,2,0.002102457395153922,0.0010598998840377367,0.17192982456140352,0.0021024573951539225,0.2808078627720814
2,3,0.0024128613650556477,0.0012125545297057988,0.3114035087719298,0.0024128613650556473,0.2764207916137982
3,4,0.0018617526909288414,0.0009359602729200547,0.22807017543859648,0.0018617526909288414,0.2773758871576129
4,5,0.0012755532624031962,0.0006422283620204496,0.12456140350877193,0.001275553262403196,0.2846573619202644
