,fold,dice,precision,recall,f1,fpr
0,1,0.6263157894736843,0.7894736842105263,0.5675438596491228,0.6263157894736843,0.00020716160805592956
1,2,0.6263157894736842,0.7894736842105263,0.5675438596491228,0.6263157894736842,0.00020716160805592956
2,3,0.6263157894736842,0.7894736842105263,0.5675438596491228,0.6263157894736842,0.00020716160805592956
3,4,0.3982456140350877,0.5263157894736842,0.34649122807017546,0.3982456140350877,5.159958720330237e-05
4,5,0.28421052631578947,0.3684210526315789,0.2605263157894737,0.28421052631578947,0.00015546064641804307
