,fold,dice,precision,recall,f1,fpr
0,1,0.0009721248841362784,0.00048629881365708016,1.0,0.0009721248841362783,4651.578947368421
1,2,0.0007982261640798226,0.00039927243689277315,1.0,0.0007982261640798225,4743.578947368421
2,3,0.0009438191642481301,0.00047213238592101227,1.0,0.0009438191642481302,4456.9473684210525
3,4,0.0009509448316148402,0.00047570506286102616,0.9722222222222222,0.0009509448316148403,3870.5263157894738
4,5,0.0009354312577952605,0.000467934489171516,1.0,0.0009354312577952604,4384.526315789473
