,fold,dice,precision,recall,f1,fpr
0,1,0.6263157894736843,0.7894736842105263,0.5675438596491228,0.6263157894736843,0.00020716160805592956
1,2,0.6263157894736843,0.7894736842105263,0.5675438596491228,0.6263157894736843,0.00020716160805592956
2,3,0.6263157894736842,0.7894736842105263,0.5675438596491228,0.6263157894736842,0.00020716160805592956
3,4,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.0
4,5,0.4999999999999999,0.5789473684210527,0.46491228070175433,0.4999999999999999,5.1700961637886464e-05
