,fold,dice,precision,recall,f1,fpr
0,1,0.7555555555555555,0.8947368421052632,0.6538461538461539,0.7555555555555555,0.10526315789473684
1,2,0.8,0.9473684210526315,0.6923076923076923,0.7999999999999999,0.05263157894736842
2,3,0.7555555555555555,0.8947368421052632,0.6538461538461539,0.7555555555555555,0.10526315789473684
3,4,0.8,0.9473684210526315,0.6923076923076923,0.7999999999999999,0.05263157894736842
4,5,0.7555555555555555,0.8947368421052632,0.6538461538461539,0.7555555555555555,0.10526315789473684
